[Wed Apr 25 21:06:37 2018] INFO: Opened log file Urho3D.log
[Wed Apr 25 21:06:37 2018] INFO: Created 3 worker threads
[Wed Apr 25 21:06:37 2018] INFO: Added resource path /home/oakenbow/Dev/Projects/Unamed-Urho3D/build/bin/Data/
[Wed Apr 25 21:06:37 2018] INFO: Added resource path /home/oakenbow/Dev/Projects/Unamed-Urho3D/build/bin/CoreData/
[Wed Apr 25 21:06:37 2018] INFO: Set screen mode 1600x900 windowed monitor 0
[Wed Apr 25 21:06:37 2018] INFO: Initialized input
[Wed Apr 25 21:06:37 2018] INFO: Initialized user interface
[Wed Apr 25 21:06:37 2018] INFO: Initialized renderer
[Wed Apr 25 21:06:37 2018] INFO: Set audio mode 44100 Hz stereo interpolated
[Wed Apr 25 21:06:37 2018] INFO: Initialized engine
[Wed Apr 25 21:06:37 2018] INFO: Loading scene from Maps/Main.bin
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:39 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:40 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:41 2018] INFO: Ground under feet!
